date,sku_id,store_id,sales_qty,stock_level,promotion_flag,temperature,day_of_week,stockout_next_3d,stock_risk_score
2024-01-01,SKU_001,STORE_1,25.0,111,0,3.9,0,0,-0.003
2024-01-01,SKU_001,STORE_2,29.0,78,0,18.2,0,0,-0.011
2024-01-01,SKU_001,STORE_3,24.0,84,0,9.2,0,0,0.018
2024-01-01,SKU_001,STORE_4,29.0,98,0,9.7,0,0,-0.002
2024-01-01,SKU_001,STORE_5,33.0,4,0,9.6,0,1,0.991
2024-01-01,SKU_002,STORE_1,25.0,86,0,16.1,0,0,0.009
2024-01-01,SKU_002,STORE_2,22.0,131,0,14.9,0,0,0.029
2024-01-01,SKU_002,STORE_3,27.0,36,0,4.4,0,0,-0.006
2024-01-01,SKU_002,STORE_4,40.0,19,0,17.2,0,0,0.007
2024-01-01,SKU_002,STORE_5,36.0,137,0,23.8,0,0,0.015
2024-01-01,SKU_003,STORE_1,29.0,61,0,-0.1,0,0,0.004
2024-01-01,SKU_003,STORE_2,,75,0,,0,0,-0.005
2024-01-01,SKU_003,STORE_3,41.0,50,0,19.8,0,0,-0.008
2024-01-01,SKU_003,STORE_4,23.0,33,0,28.0,0,0,0.009
2024-01-01,SKU_003,STORE_5,26.0,0,0,23.3,0,1,0.989
2024-01-01,SKU_004,STORE_1,28.0,6,0,18.0,0,1,1.013
2024-01-01,SKU_004,STORE_2,47.0,123,1,1.2,0,0,0.012
2024-01-01,SKU_004,STORE_3,32.0,73,0,,0,0,0.003
2024-01-01,SKU_004,STORE_4,20.0,29,0,0.3,0,0,0.008
2024-01-01,SKU_004,STORE_5,30.0,118,0,23.9,0,0,0.002
2024-01-01,SKU_005,STORE_1,39.0,135,0,27.7,0,0,0.002
2024-01-01,SKU_005,STORE_2,27.0,51,0,12.1,0,0,0.002
2024-01-01,SKU_005,STORE_3,26.0,5,0,33.9,0,1,0.969
2024-01-01,SKU_005,STORE_4,25.0,75,0,16.7,0,0,-0.005
2024-01-01,SKU_005,STORE_5,31.0,160,0,14.4,0,0,0.009
2024-01-01,SKU_006,STORE_1,32.0,110,0,18.4,0,0,-0.008
2024-01-01,SKU_006,STORE_2,20.0,147,0,13.6,0,0,-0.015
2024-01-01,SKU_006,STORE_3,22.0,145,0,29.0,0,0,0.009
2024-01-01,SKU_006,STORE_4,23.0,7,0,20.4,0,1,0.989
2024-01-01,SKU_006,STORE_5,41.0,90,0,5.9,0,0,0.011
2024-01-01,SKU_007,STORE_1,41.0,0,0,-1.1,0,0,0.019
2024-01-01,SKU_007,STORE_2,36.0,0,0,16.8,0,0,-0.013
2024-01-01,SKU_007,STORE_3,34.0,0,0,21.5,0,0,0.021
2024-01-01,SKU_007,STORE_4,22.0,0,0,26.0,0,0,0.006
2024-01-01,SKU_007,STORE_5,26.0,0,0,15.0,0,0,-0.006
2024-01-01,SKU_008,STORE_1,24.0,114,0,11.2,0,0,0.0
2024-01-01,SKU_008,STORE_2,26.0,14,0,18.2,0,1,0.995
2024-01-01,SKU_008,STORE_3,30.0,50,0,15.6,0,0,-0.021
2024-01-01,SKU_008,STORE_4,29.0,89,0,29.8,0,0,0.019
2024-01-01,SKU_008,STORE_5,42.0,72,0,19.0,0,0,0.002
2024-01-01,SKU_009,STORE_1,,122,0,10.5,0,0,-0.01
2024-01-01,SKU_009,STORE_2,25.0,98,0,22.8,0,0,-0.01
2024-01-01,SKU_009,STORE_3,41.0,108,1,21.4,0,0,-0.011
2024-01-01,SKU_009,STORE_4,37.0,158,0,4.2,0,0,-0.0
2024-01-01,SKU_009,STORE_5,,124,0,,0,0,0.001
2024-01-01,SKU_010,STORE_1,32.0,130,0,-1.9,0,0,-0.012
2024-01-01,SKU_010,STORE_2,35.0,42,0,16.7,0,0,-0.002
2024-01-01,SKU_010,STORE_3,32.0,0,1,6.4,0,1,0.974
2024-01-01,SKU_010,STORE_4,19.0,94,0,20.5,0,0,-0.006
2024-01-01,SKU_010,STORE_5,28.0,115,0,2.3,0,0,-0.008
2024-01-01,SKU_011,STORE_1,33.0,103,0,13.9,0,0,0.002
2024-01-01,SKU_011,STORE_2,34.0,43,1,10.1,0,0,0.01
2024-01-01,SKU_011,STORE_3,20.0,128,0,-0.5,0,0,-0.017
2024-01-01,SKU_011,STORE_4,34.0,78,0,11.6,0,0,0.005
2024-01-01,SKU_011,STORE_5,33.0,33,0,7.7,0,0,0.013
2024-01-01,SKU_012,STORE_1,52.0,143,1,2.2,0,0,0.006
2024-01-01,SKU_012,STORE_2,32.0,56,0,10.2,0,0,0.0
2024-01-01,SKU_012,STORE_3,,92,0,-5.9,0,0,0.014
2024-01-01,SKU_012,STORE_4,15.0,132,0,5.2,0,0,-0.009
2024-01-01,SKU_012,STORE_5,32.0,111,0,19.6,0,0,-0.003
2024-01-01,SKU_013,STORE_1,44.0,49,1,19.8,0,0,-0.013
2024-01-01,SKU_013,STORE_2,22.0,32,0,19.7,0,0,0.017
2024-01-01,SKU_013,STORE_3,30.0,94,0,3.4,0,0,0.009
2024-01-01,SKU_013,STORE_4,35.0,148,0,,0,0,-0.006
2024-01-01,SKU_013,STORE_5,26.0,170,0,,0,0,-0.009
